id,ident,type,name,municipality,iso_country,iata,icao,latitude_deg,longitude_deg
42257,AE-0001,small_airport,Batha Airport,Batha,SA,,OEBT,24.214693,51.44989
300646,AEI,heliport,Algeciras Heliport,Algeciras,ES,,LEAG,36.12882,-5.441079
336537,AG-0001,medium_airport,Burton-Nibbs International Airport,Codrington,AG,BBQ,TAPB,17.621194,-61.798347
30634,AGGA,small_airport,Gwaunaru'u Airport,Auki,SB,AKS,AGGA,-8.70257,160.682007
302047,AGGB,small_airport,Bellona/Anua Airport,Anua,SB,BNY,AGGB,-11.3022222222,159.798333333
302291,AGGC,small_airport,Choiseul Bay Airport,Choiseul Bay,SB,CHY,AGGC,-6.711944,156.396111
30678,AGGE,small_airport,Ballalae Airport,Ballalae,SB,BAS,AGGE,-6.990745,155.886656
35167,AGGF,small_airport,Fera/Maringe Airport,Fera Island,SB,FRE,AGGF,-8.1075,159.576996
3,AGGH,large_airport,Honiara International Airport,Honiara,SB,HIR,AGGH,-9.428,160.054993
31686,AGGK,small_airport,Ngorangora Airport,Kirakira,SB,IRA,AGGK,-10.4497003555,161.897994995
32275,AGGL,small_airport,Santa Cruz/Graciosa Bay/Luova Airport,Santa Cruz/Graciosa Bay/Luova,SB,SCZ,AGGL,-10.7203,165.794998
4,AGGM,medium_airport,Munda Airport,Munda,SB,MUA,AGGM,-8.32797,157.263
31563,AGGN,small_airport,Nusatupe Airport,Gizo,SB,GZO,AGGN,-8.09778022766,156.863998413
31932,AGGO,small_airport,Mono Airport,Stirling Island,SB,MNY,AGGO,-7.41694,155.565002
35171,AGGR,small_airport,Rennell/Tingoa Airport,Rennell Island,SB,RNL,AGGR,-11.55,160.062778
308425,AGGT,small_airport,Santa Ana Airport,Santa Ana Island,SB,NNB,AGGT,-10.847994,162.454108
32238,AGGU,small_airport,Marau Airport,Marau,SB,RUS,AGGU,-9.86167,160.824997
32564,AGGV,small_airport,Suavanao Airport,Suavanao,SB,VAO,AGGV,-7.58556,158.731003
302292,AGGY,small_airport,Yandina Airport,Yandina,SB,XYA,AGGY,-9.092816,159.21841
35169,AGKG,small_airport,Kaghau Airport,Kagau Island,SB,KGE,AGKG,-7.3305,157.585
508090,AGOB,small_airport,Manaoba Airport,Manaoba,SB,MHM,AGOB,-8.325008,160.80051
35168,AGOK,small_airport,Gatokae Aerodrome,Gatokae,SB,GTA,AGOK,-8.738358,158.202836
35170,AGRM,small_airport,Ramata Airport,Ramata,SB,RBV,AGRM,-8.168060302734375,157.64300537109375
8,ANYN,medium_airport,Nauru International Airport,Yaren,NR,INU,ANYN,-0.547893,166.919525
314558,AXF,medium_airport,Alxa Left Banner Bayanhot Airport,Bayanhot,CN,AXF,ZBAL,38.748317,105.58416
35179,AYBA,medium_airport,Baimuru Airport,Baimuru,PG,VMU,AYBA,-7.496955,144.821756
53,AYBK,medium_airport,Buka Airport,Buka Island,PG,BUA,AYBK,-5.422299,154.672698
35180,AYBM,medium_airport,Balimo Airport,Balimo,PG,OPU,AYBM,-8.05000019073,142.932998657
54,AYCH,medium_airport,Chimbu Airport,Kundiawa,PG,CMU,AYCH,-6.024290084838867,144.9709930419922
55,AYDU,medium_airport,Daru Airport,Daru,PG,DAU,AYDU,-9.08676,143.207993
301979,AYET,small_airport,Bosset Airport,Bosset,PG,BOT,AYET,-7.237257,141.1063222
56,AYGA,medium_airport,Goroka Airport,Goronka,PG,GKA,AYGA,-6.081689834590001,145.391998291
57,AYGN,medium_airport,Gurney Airport,Gurney,PG,GUR,AYGN,-10.3114995956,150.333999634
58,AYGR,medium_airport,Girua Airport,Popondetta,PG,PNP,AYGR,-8.80453968048,148.309005737
31542,AYGT,small_airport,Gasmata Island Airport,Gasmata Island,PG,GMI,AYGT,-6.27111005783,150.330993652
59,AYHK,medium_airport,Hoskins Airport,Kimbe,PG,HKN,AYHK,-5.463846,150.407327
302264,AYIQ,small_airport,Aropa Airport,Kieta,PG,KIE,AYIQ,-6.305727,155.728249
35188,AYKA,small_airport,Losuia Airport,Losuia,PG,LSA,AYKA,-8.505820274353027,151.08099365234375
35185,AYKI,small_airport,Kiunga Airport,Kiunga,PG,UNG,AYKI,-6.1257100105285645,141.28199768066406
35184,AYKK,small_airport,Kikori Airport,Kikori,PG,KRI,AYKK,-7.42438,144.250076
60,AYKM,medium_airport,Kerema Airport,Kerema,PG,KMA,AYKM,-7.96361017227,145.770996094
61,AYKV,medium_airport,Kavieng Airport,Kavieng,PG,KVG,AYKV,-2.57940006256,150.807998657
31837,AYKY,small_airport,Londolovit Airport,Londolovit,PG,LNV,AYKY,-3.04361009598,152.628997803
62,AYMD,medium_airport,Madang Airport,Madang,PG,MAG,AYMD,-5.20707988739,145.789001465
